dispnum,ccode,participant_incident_count,participant_threat_count,participant_force_count,participant_max_action,participant_mean_hostlev,sidea,revstate,revtype1,revtype2,use_force_or_war
3551,2,3,1,0,7,2.6666666666666665,1,1,2,-9,1
3551,20,1,0,0,7,3.0,1,1,2,-9,1
3551,200,2,0,0,7,3.0,1,1,2,-9,1
3551,210,1,0,0,7,3.0,1,1,2,-9,1
3551,211,2,0,1,13,3.5,1,1,2,-9,1
3551,220,2,0,0,7,3.0,1,1,2,-9,1
3551,230,2,0,1,13,3.5,1,1,2,-9,1
3551,235,1,0,0,7,3.0,1,1,2,-9,1
3551,255,2,0,1,13,3.5,1,1,2,-9,1
3551,325,2,0,1,13,3.5,1,1,2,-9,1
3551,345,5,4,1,15,1.6,0,0,0,-9,1
3551,350,2,0,1,13,3.5,1,1,2,-9,1
3551,360,2,1,1,15,2.5,1,1,2,-9,1
3551,390,1,0,0,7,3.0,1,1,2,-9,1
3551,640,1,0,0,7,3.0,1,1,2,-9,1
3552,2,14,8,2,17,2.2857142857142856,1,0,0,-9,1
3552,200,3,1,0,8,2.6666666666666665,1,0,0,-9,1
3552,220,4,1,1,17,3.0,1,0,0,-9,1
3552,365,2,2,0,1,2.0,1,0,0,-9,1
3552,645,16,12,1,17,1.625,0,1,2,-9,1
3552,670,1,1,0,0,1.0,1,0,0,-9,1
3552,690,2,0,0,8,3.0,1,0,0,-9,1
3555,344,4,1,3,17,3.25,1,0,0,-9,1
3555,345,4,0,4,17,3.75,0,1,1,-9,1
3556,344,2,1,1,17,2.5,1,1,1,-9,1
3556,346,2,0,2,17,3.5,0,0,0,-9,1
3557,345,5,0,4,17,3.8,1,1,1,-9,1
3557,346,5,2,3,17,2.8,0,0,0,-9,1
3561,365,13,5,6,17,2.769230769230769,1,1,2,-9,1
3561,372,13,7,6,17,2.230769230769231,0,1,2,-9,1
3564,365,2,1,1,17,2.5,1,1,2,0,1
3564,371,15,0,15,17,4.0,1,1,1,0,1
3564,373,9,0,9,17,4.0,0,1,1,0,1
3564,630,1,0,0,7,3.0,0,1,2,0,1
3564,640,6,1,3,12,2.6666666666666665,0,1,2,0,1
3568,2,2,2,0,1,2.0,0,0,0,-9,1
3568,200,1,1,0,1,2.0,0,0,0,-9,1
3568,220,1,1,0,1,2.0,0,0,0,-9,1
3568,645,9,5,4,17,2.2222222222222223,1,1,1,-9,1
3568,690,7,3,4,17,2.857142857142857,0,0,0,-9,1
4001,800,12,1,2,17,3.0,1,0,0,0,1
4001,811,12,9,3,17,1.6666666666666667,0,1,2,0,1
4002,775,2,2,0,0,1.0,0,1,2,0,1
4002,800,2,0,0,8,3.0,1,0,0,0,1
4003,775,1,0,1,11,3.0,1,1,1,0,0
4003,800,1,1,0,0,1.0,0,0,0,0,0
4004,811,2,1,1,11,2.0,0,0,0,0,1
4004,816,2,1,1,14,2.5,1,1,1,0,1
4005,750,1,0,1,17,4.0,0,0,0,0,1
4005,771,1,0,1,17,4.0,1,0,0,0,1
4006,750,1,0,0,8,3.0,1,0,0,0,0
4006,771,1,1,0,0,1.0,0,0,0,0,0
4007,750,22,5,17,17,3.3181818181818183,0,0,0,0,1
4007,770,22,11,10,17,2.4545454545454546,1,1,1,0,1
4008,800,1,0,1,17,4.0,0,0,0,0,1
4008,816,1,0,1,17,4.0,1,0,0,0,1
4009,100,1,1,0,0,1.0,0,0,0,0,1
4009,101,1,0,1,12,3.0,1,1,4,0,1
4010,91,1,0,1,11,3.0,1,1,2,0,0
4010,92,1,1,0,0,1.0,0,0,0,0,0
4011,91,2,1,1,17,2.5,0,1,2,0,1
4011,93,2,0,2,17,4.0,1,1,2,0,1
4012,91,1,1,0,1,2.0,1,1,2,1,0
4012,93,1,1,0,0,1.0,0,0,0,0,0
4013,130,6,1,4,17,3.1666666666666665,1,1,1,0,1
4013,135,6,3,3,17,2.3333333333333335,0,1,1,0,1
4014,80,2,1,1,12,2.0,1,1,1,0,0
4014,90,2,1,1,11,2.0,0,1,1,0,0
4015,80,1,0,1,12,3.0,1,1,1,0,0
4015,90,1,1,0,0,1.0,0,1,1,0,0
4016,2,6,2,1,13,2.6666666666666665,1,1,3,0,1
4016,20,1,0,1,13,4.0,1,1,3,0,1
4016,41,7,6,0,7,1.2857142857142858,0,0,0,0,1
4016,42,1,0,1,13,4.0,1,1,3,0,1
4016,160,1,0,1,13,4.0,1,1,3,0,1
4016,200,2,0,1,13,3.5,1,1,3,0,1
4016,210,1,0,1,13,4.0,1,1,3,0,1
4016,220,1,0,1,13,4.0,1,1,3,0,1
4018,710,1,0,1,17,4.0,0,0,0,0,1
4018,731,1,0,1,17,4.0,1,1,2,0,1
4019,710,1,1,0,0,1.0,0,0,0,0,1
4019,731,1,0,1,16,4.0,1,0,0,0,1
4020,710,3,3,0,0,1.0,0,0,0,0,1
4020,713,3,0,3,16,4.0,1,1,2,0,1
4021,2,1,0,0,7,3.0,1,0,0,0,0
4021,731,2,1,0,8,2.0,0,1,2,0,0
4021,732,2,1,0,7,2.0,1,0,0,0,0
4022,2,8,3,2,11,2.25,0,0,0,0,1
4022,20,1,0,0,7,3.0,0,0,0,0,1
4022,731,36,19,9,16,1.9722222222222223,1,1,1,2,1
4022,732,30,15,1,11,2.033333333333333,0,0,0,0,1
4022,740,3,2,0,7,1.6666666666666667,0,0,0,0,1
4022,900,1,0,0,7,3.0,0,0,0,0,1
4023,710,1,0,0,8,3.0,1,1,2,0,0
4023,713,1,1,0,0,1.0,0,0,0,0,0
4024,713,1,0,0,7,3.0,1,0,0,0,0
4024,840,1,1,0,0,1.0,0,1,1,0,0
4026,713,1,1,0,0,1.0,0,1,1,0,0
4026,740,1,0,0,7,3.0,1,0,0,0,0
4027,710,2,1,1,15,2.5,1,1,1,0,1
4027,840,2,1,0,7,2.0,0,1,1,0,1
4028,710,5,4,0,7,1.4,0,1,1,0,1
4028,840,5,1,2,11,2.6,1,1,1,0,1
4029,710,1,0,0,7,3.0,1,1,1,0,0
4029,816,1,1,0,0,1.0,0,0,0,0,0
4030,710,2,0,1,13,3.5,1,1,1,0,1
4030,816,2,2,0,0,1.0,0,1,1,0,1
4031,20,6,2,3,16,3.0,1,0,0,0,1
4031,230,6,5,0,7,1.3333333333333333,0,1,2,0,1
4032,211,1,1,0,0,1.0,0,0,0,0,0
4032,490,1,1,0,1,2.0,1,0,0,0,0
4035,710,1,0,1,12,3.0,1,1,2,1,0
4035,713,1,1,0,0,1.0,0,0,0,0,0
4038,352,1,1,0,0,1.0,0,0,0,0,1
4038,640,1,1,0,1,2.0,1,1,1,0,1
4039,352,1,0,1,16,4.0,1,0,0,0,1
4039,640,1,1,0,0,1.0,0,1,1,0,1
4040,350,6,5,1,16,1.5,0,0,0,0,1
4040,640,6,2,0,8,2.0,1,1,2,0,1
4041,339,1,1,0,0,1.0,0,0,0,0,1
4041,350,1,0,1,16,4.0,1,1,2,0,1
4042,365,6,0,4,16,3.6666666666666665,1,0,0,0,1
4042,740,6,6,0,0,1.0,0,1,1,0,1
4043,339,5,3,2,16,2.2,1,1,2,0,1
4043,345,5,3,2,16,2.0,0,0,0,0,1
4045,339,1,1,0,0,1.0,0,0,0,0,0
4045,345,1,0,0,7,3.0,1,0,0,0,0
4046,2,1,1,0,0,1.0,0,0,0,0,0
4046,343,1,1,0,0,1.0,0,0,0,0,0
4046,345,3,1,1,12,2.3333333333333335,1,1,1,0,0
4048,220,1,0,0,7,3.0,1,0,0,0,0
4048,344,1,1,0,0,1.0,0,0,0,0,0
4050,365,2,0,0,7,3.0,1,1,2,0,1
4050,369,2,2,0,0,1.0,0,1,2,0,1
4051,359,1,1,0,0,1.0,0,1,2,0,0
4051,365,1,0,0,7,3.0,1,0,0,0,0
4052,365,1,1,0,0,1.0,0,0,0,0,1
4052,710,1,0,1,15,4.0,1,0,0,0,1
4054,365,9,1,8,17,3.4444444444444446,1,0,0,0,1
4054,700,10,8,2,17,1.6,0,1,3,0,1
4054,701,2,1,1,11,2.5,1,0,0,0,1
4054,702,4,2,2,11,2.5,1,0,0,0,1
4054,703,2,1,1,11,2.5,1,0,0,0,1
4054,704,2,1,1,11,2.5,1,0,0,0,1
4054,705,2,1,1,11,2.5,1,0,0,0,1
4055,365,4,0,3,16,3.75,1,0,0,0,1
4055,700,4,4,0,0,1.0,0,1,3,0,1
4058,339,1,0,1,17,4.0,1,1,2,0,1
4058,343,1,0,1,17,4.0,0,0,0,0,1
4060,713,1,0,0,7,3.0,1,0,0,0,0
4060,816,1,1,0,0,1.0,0,1,1,0,0
4061,710,2,1,0,7,2.0,1,1,1,0,0
4061,740,2,1,0,7,2.0,0,0,0,0,0
4062,710,1,0,0,7,3.0,1,1,1,0,0
4062,740,1,1,0,0,1.0,0,0,0,0,0
4063,710,2,1,0,7,2.0,0,1,1,0,0
4063,850,2,1,0,7,2.0,1,0,0,0,0
4064,2,1,0,0,7,3.0,0,0,0,0,0
4064,710,11,4,1,11,2.3636363636363638,1,1,1,2,0
4064,713,9,6,1,11,1.6666666666666667,0,0,0,0,0
4065,2,2,2,0,0,1.0,0,0,0,0,0
4065,710,1,0,0,7,3.0,1,1,2,0,0
4065,732,1,1,0,0,1.0,0,0,0,0,0
4066,452,1,0,0,8,3.0,1,1,2,0,0
4066,461,1,1,0,0,1.0,0,0,0,0,0
4067,436,1,0,1,17,4.0,0,0,0,0,1
4067,483,1,0,1,17,4.0,1,0,0,0,1
4068,475,1,0,1,14,4.0,1,1,1,0,1
4068,483,1,1,0,0,1.0,0,0,0,0,1
4069,484,1,1,0,0,1.0,0,0,0,0,1
4069,490,1,0,1,15,4.0,1,0,0,0,1
4071,490,1,0,1,11,3.0,1,0,0,0,0
